# For the SECCON CTF 2014 winter online qualifications
# Title : Let's disassemble
# Genre : Binary
# Points: 200
# Author: @shiracamus
#
# Reference: http://poke-com.jimdo.com/z80-%E6%A9%9F%E6%A2%B0%E8%AA%9E%E3%81%AB%E8%A7%A6%E3%82%8C%E3%82%8B/z80-%E3%82%B3%E3%83%BC%E3%83%89%E4%B8%80%E8%A6%A7/
#   I fixed up many incorrect things.
#
00      NOP
01 nn   LD BC,nn
02      LD (BC),A
03      INC BC
04      INC B
05      DEC B
06 n    LD B,n
07      RLCA
08      EX AF,AF'
09      ADD HL,BC
0A      LD A,(BC)
0B      DEC BC
0C      INC C
0D      DEC C
0E n    LD C,n
0F      RRCA
#10 e    DJNZ e
11 nn   LD DE,nn
12      LD (DE),A
13      INC DE
14      INC D
15      DEC D
16 n    LD D,n
17      RLA
#18 e    JR e
19      ADD HL,DE
1A      LD A,(DE)
1B      DEC DE
1C      INC E
1D      DEC E
1E n    LD E,n
1F      RRA
#20 e    JR NZ,e
21 nn   LD HL,nn
22 nn   LD (nn),HL
23      INC HL
24      INC H
25      DEC H
26 n    LD H,n
27      DAA
#28 e    JR Z,e
29      ADD HL,HL
2A nn   LD HL,(nn)
2B      DEC HL
2C      INC L
2D      DEC L
2E n    LD L,n
2F      CPL
#30 e    JR NC,e
31 nn   LD SP,nn
32 nn   LD (nn),A
33      INC SP
34      INC (HL)
35      DEC (HL)
36 n    LD (HL),n
37      SCF
#38 e    JR C,e
39      ADD HL,SP
3A nn   LD A,(nn)
3B      DEC SP
3C      INC A
3D      DEC A
3E n    LD A,n
3F      CCF
40      LD B,B
41      LD B,C
42      LD B,D
43      LD B,E
44      LD B,H
45      LD B,L
46      LD B,(HL)
47      LD B,A
48      LD C,B
49      LD C,C
4A      LD C,D
4B      LD C,E
4C      LD C,H
4D      LD C,L
4E      LD C,(HL)
4F      LD C,A
50      LD D,B
51      LD D,C
52      LD D,D
53      LD D,E
54      LD D,H
55      LD D,L
56      LD D,(HL)
